job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
1,"""Payment Processing Officer""","""Faisalabad, Pakistan""",null,"""200,000 PKR""",null,"""Receive and ship packages for our global e-commerce brand. All expenses paid. You just need to inspect the items and forward them to the provided addresses.""","""Must have physical space to store items. Confidentiality is key. Reach out on Telegram @HR_Recruiter_Global.""",null,1,1,0,"""Full-time""","""Entry level""","""High School""","""Administrative""","""Administrative""",1
2,"""Part-time Data Analyst""","""Multan, Pakistan""",null,"""200,000 PKR""",null,"""Receive and ship packages for our global e-commerce brand. All expenses paid. You just need to inspect the items and forward them to the provided addresses.""","""Must have physical space to store items. Confidentiality is key. Reach out on Telegram @HR_Recruiter_Global.""",null,1,1,0,"""Full-time""","""Internship""","""High School""","""Marketing""","""Data Entry""",1
3,"""Remote Typist""","""Multan, Pakistan""",null,"""$3,000 - $5,000 per month""",null,"""URGENT HIRING: International Customer Support. Work from home. Training provided for free, but you must purchase the 'Employee Starter Kit' for $200 from our approved vendor.""","""Fluent English. Reliable internet. Payments via Western Union only.""",null,0,1,0,"""Part-time""","""Entry level""","""High School""","""Marketing""","""Administrative""",1
4,"""Online Processing Agent""","""Rawalpindi, Pakistan""",null,"""100,000 - 150,000 PKR""",null,"""Simple data entry work for a multinational firm. You can work from home 2 hours a day and earn a full-time salary. We are hiring 50 people urgently.""","""Basic computer knowledge. To start, you must pay a 5,000 PKR security deposit for the software license which is refundable after first month.""",null,0,1,0,"""Part-time""","""No Experience Required""","""Unspecified""","""Information Technology""","""Customer Service""",1
5,"""Data Entry Specialist""","""Remote, Global""",null,"""200,000 PKR""",null,"""Receive and ship packages for our global e-commerce brand. All expenses paid. You just need to inspect the items and forward them to the provided addresses.""","""Must have physical space to store items. Confidentiality is key. Reach out on Telegram @HR_Recruiter_Global.""",null,1,0,1,"""Part-time""","""Entry level""","""High School""","""Marketing""","""Finance""",1
6,"""Part-time Data Analyst""","""Lahore, Pakistan""",null,"""$3,000 - $5,000 per month""",null,"""URGENT HIRING: International Customer Support. Work from home. Training provided for free, but you must purchase the 'Employee Starter Kit' for $200 from our approved vendor.""","""Fluent English. Reliable internet. Payments via Western Union only.""",null,1,1,1,"""Contract""","""Internship""","""Bachelor's Degree""","""Administrative""","""Finance""",1
7,"""Junior Administrative Assistant""","""Islamabad, Pakistan""",null,"""100,000 - 150,000 PKR""",null,"""Simple data entry work for a multinational firm. You can work from home 2 hours a day and earn a full-time salary. We are hiring 50 people urgently.""","""Basic computer knowledge. To start, you must pay a 5,000 PKR security deposit for the software license which is refundable after first month.""",null,0,1,1,"""Full-time""","""Entry level""","""High School""","""Financial Services""","""Consulting""",1
8,"""Junior Administrative Assistant""","""Gujranwala, Pakistan""",null,"""100,000 - 150,000 PKR""",null,"""Simple data entry work for a multinational firm. You can work from home 2 hours a day and earn a full-time salary. We are hiring 50 people urgently.""","""Basic computer knowledge. To start, you must pay a 5,000 PKR security deposit for the software license which is refundable after first month.""",null,0,0,0,"""Full-time""","""No Experience Required""","""High School""","""Marketing""","""Consulting""",1
9,"""Social Media Marketing Intern""","""Karachi, Pakistan""",null,"""150,000 - 300,000 PKR per month""",null,"""Join our fast-growing international team. We need someone to process local payments from our clients. You will receive funds and forward them to our main office via crypto or bank transfer. Highly profitable commission based.""","""Must have an active bank account and CNIC. Willingness to handle large transactions. Fast communication via Telegram or WhatsApp required.""",null,1,0,1,"""Part-time""","""Entry level""","""High School""","""Logistics""","""Data Entry""",1
10,"""Virtual Assistant""","""Berlin, Germany""",null,"""80,000 - 120,000 PKR""",null,"""We are looking for an office assistant to manage schedules. Due to high volume of applicants, we only interview via WhatsApp. Contact +923xx-xxxxxxx immediately.""","""No experience needed. Must provide CNIC copy and bank login details for background verification check.""",null,0,0,0,"""Contract""","""Entry level""","""High School""","""Logistics""","""Customer Service""",1
11,"""Social Media Marketing Intern""","""Rawalpindi, Pakistan""",null,"""100,000 - 150,000 PKR""",null,"""Simple data entry work for a multinational firm. You can work from home 2 hours a day and earn a full-time salary. We are hiring 50 people urgently.""","""Basic computer knowledge. To start, you must pay a 5,000 PKR security deposit for the software license which is refundable after first month.""",null,1,0,1,"""Contract""","""No Experience Required""","""High School""","""Marketing""","""Administrative""",1
12,"""Crypto Exchange Assistant""","""Lahore, Pakistan""",null,"""200,000 PKR""",null,"""Receive and ship packages for our global e-commerce brand. All expenses paid. You just need to inspect the items and forward them to the provided addresses.""","""Must have physical space to store items. Confidentiality is key. Reach out on Telegram @HR_Recruiter_Global.""",null,1,1,0,"""Full-time""","""No Experience Required""","""High School""","""Financial Services""","""Data Entry""",1
13,"""Social Media Marketing Intern""","""Karachi, Pakistan""",null,"""200,000 PKR""",null,"""Receive and ship packages for our global e-commerce brand. All expenses paid. You just need to inspect the items and forward them to the provided addresses.""","""Must have physical space to store items. Confidentiality is key. Reach out on Telegram @HR_Recruiter_Global.""",null,1,1,0,"""Part-time""","""Internship""","""Unspecified""","""Information Technology""","""Data Entry""",1
14,"""Online Processing Agent""","""Remote, Global""",null,"""80,000 - 120,000 PKR""",null,"""We are looking for an office assistant to manage schedules. Due to high volume of applicants, we only interview via WhatsApp. Contact +923xx-xxxxxxx immediately.""","""No experience needed. Must provide CNIC copy and bank login details for background verification check.""",null,0,0,1,"""Full-time""","""No Experience Required""","""Unspecified""","""Marketing""","""Customer Service""",1
15,"""Part-time Data Analyst""","""Remote, Pakistan""",null,"""200,000 PKR""",null,"""Receive and ship packages for our global e-commerce brand. All expenses paid. You just need to inspect the items and forward them to the provided addresses.""","""Must have physical space to store items. Confidentiality is key. Reach out on Telegram @HR_Recruiter_Global.""",null,1,0,1,"""Contract""","""Internship""","""Bachelor's Degree""","""Administrative""","""Data Entry""",1
16,"""Virtual Assistant""","""Islamabad, Pakistan""",null,"""100,000 - 150,000 PKR""",null,"""Simple data entry work for a multinational firm. You can work from home 2 hours a day and earn a full-time salary. We are hiring 50 people urgently.""","""Basic computer knowledge. To start, you must pay a 5,000 PKR security deposit for the software license which is refundable after first month.""",null,0,1,0,"""Part-time""","""Internship""","""Bachelor's Degree""","""Financial Services""","""Consulting""",1
17,"""Online Processing Agent""","""Karachi, Pakistan""",null,"""80,000 - 120,000 PKR""",null,"""We are looking for an office assistant to manage schedules. Due to high volume of applicants, we only interview via WhatsApp. Contact +923xx-xxxxxxx immediately.""","""No experience needed. Must provide CNIC copy and bank login details for background verification check.""",null,0,1,1,"""Part-time""","""No Experience Required""","""High School""","""Marketing""","""Finance""",1
18,"""Part-time Data Analyst""","""Lahore, Pakistan""",null,"""$3,000 - $5,000 per month""",null,"""URGENT HIRING: International Customer Support. Work from home. Training provided for free, but you must purchase the 'Employee Starter Kit' for $200 from our approved vendor.""","""Fluent English. Reliable internet. Payments via Western Union only.""",null,0,1,0,"""Part-time""","""No Experience Required""","""Unspecified""","""Information Technology""","""Administrative""",1
19,"""Virtual Assistant""","""New York, USA""",null,"""100,000 - 150,000 PKR""",null,"""Simple data entry work for a multinational firm. You can work from home 2 hours a day and earn a full-time salary. We are hiring 50 people urgently.""","""Basic computer knowledge. To start, you must pay a 5,000 PKR security deposit for the software license which is refundable after first month.""",null,0,1,1,"""Full-time""","""Entry level""","""High School""","""Information Technology""","""Finance""",1
20,"""Payment Processing Officer""","""Dubai, UAE""",null,"""150,000 - 300,000 PKR per month""",null,"""Join our fast-growing international team. We need someone to process local payments from our clients. You will receive funds and forward them to our main office via crypto or bank transfer. Highly profitable commission based.""","""Must have an active bank account and CNIC. Willingness to handle large transactions. Fast communication via Telegram or WhatsApp required.""",null,1,0,1,"""Contract""","""No Experience Required""","""Unspecified""","""Administrative""","""Data Entry""",1
21,"""Social Media Marketing Intern""","""Remote, Global""",null,"""100,000 - 150,000 PKR""",null,"""Simple data entry work for a multinational firm. You can work from home 2 hours a day and earn a full-time salary. We are hiring 50 people urgently.""","""Basic computer knowledge. To start, you must pay a 5,000 PKR security deposit for the software license which is refundable after first month.""",null,0,1,0,"""Full-time""","""No Experience Required""","""Unspecified""","""Administrative""","""Customer Service""",1
22,"""Data Entry Specialist""","""Gujranwala, Pakistan""",null,"""100,000 - 150,000 PKR""",null,"""Simple data entry work for a multinational firm. You can work from home 2 hours a day and earn a full-time salary. We are hiring 50 people urgently.""","""Basic computer knowledge. To start, you must pay a 5,000 PKR security deposit for the software license which is refundable after first month.""",null,0,0,0,"""Full-time""","""Entry level""","""Unspecified""","""Marketing""","""Data Entry""",1
23,"""Junior Administrative Assistant""","""Singapore""",null,"""100,000 - 150,000 PKR""",null,"""Simple data entry work for a multinational firm. You can work from home 2 hours a day and earn a full-time salary. We are hiring 50 people urgently.""","""Basic computer knowledge. To start, you must pay a 5,000 PKR security deposit for the software license which is refundable after first month.""",null,1,1,0,"""Full-time""","""Entry level""","""Bachelor's Degree""","""Administrative""","""Administrative""",1
24,"""Junior Administrative Assistant""","""Gujranwala, Pakistan""",null,"""200,000 PKR""",null,"""Receive and ship packages for our global e-commerce brand. All expenses paid. You just need to inspect the items and forward them to the provided addresses.""","""Must have physical space to store items. Confidentiality is key. Reach out on Telegram @HR_Recruiter_Global.""",null,0,0,0,"""Contract""","""Internship""","""High School""","""Financial Services""","""Consulting""",1
25,"""Account Manager Trainee""","""New York, USA""",null,"""150,000 - 300,000 PKR per month""",null,"""Join our fast-growing international team. We need someone to process local payments from our clients. You will receive funds and forward them to our main office via crypto or bank transfer. Highly profitable commission based.""","""Must have an active bank account and CNIC. Willingness to handle large transactions. Fast communication via Telegram or WhatsApp required.""",null,0,1,0,"""Part-time""","""Internship""","""Bachelor's Degree""","""Information Technology""","""Data Entry""",1
26,"""Account Manager Trainee""","""Lahore, Pakistan""",null,"""$3,000 - $5,000 per month""",null,"""URGENT HIRING: International Customer Support. Work from home. Training provided for free, but you must purchase the 'Employee Starter Kit' for $200 from our approved vendor.""","""Fluent English. Reliable internet. Payments via Western Union only.""",null,0,0,0,"""Full-time""","""No Experience Required""","""High School""","""Financial Services""","""Customer Service""",1
27,"""Account Manager Trainee""","""Gujranwala, Pakistan""",null,"""100,000 - 150,000 PKR""",null,"""Simple data entry work for a multinational firm. You can work from home 2 hours a day and earn a full-time salary. We are hiring 50 people urgently.""","""Basic computer knowledge. To start, you must pay a 5,000 PKR security deposit for the software license which is refundable after first month.""",null,1,1,0,"""Full-time""","""Internship""","""High School""","""Financial Services""","""Administrative""",1
28,"""Online Processing Agent""","""New York, USA""",null,"""100,000 - 150,000 PKR""",null,"""Simple data entry work for a multinational firm. You can work from home 2 hours a day and earn a full-time salary. We are hiring 50 people urgently.""","""Basic computer knowledge. To start, you must pay a 5,000 PKR security deposit for the software license which is refundable after first month.""",null,0,0,1,"""Contract""","""Internship""","""Bachelor's Degree""","""Financial Services""","""Finance""",1
29,"""Customer Service Representative""","""Dubai, UAE""",null,"""100,000 - 150,000 PKR""",null,"""Simple data entry work for a multinational firm. You can work from home 2 hours a day and earn a full-time salary. We are hiring 50 people urgently.""","""Basic computer knowledge. To start, you must pay a 5,000 PKR security deposit for the software license which is refundable after first month.""",null,0,1,1,"""Full-time""","""Entry level""","""Bachelor's Degree""","""Financial Services""","""Administrative""",1
30,"""Social Media Marketing Intern""","""Lahore, Pakistan""",null,"""150,000 - 300,000 PKR per month""",null,"""Join our fast-growing international team. We need someone to process local payments from our clients. You will receive funds and forward them to our main office via crypto or bank transfer. Highly profitable commission based.""","""Must have an active bank account and CNIC. Willingness to handle large transactions. Fast communication via Telegram or WhatsApp required.""",null,1,1,1,"""Full-time""","""No Experience Required""","""High School""","""Administrative""","""Administrative""",1
31,"""Online Processing Agent""","""Remote, Global""",null,"""$3,000 - $5,000 per month""",null,"""URGENT HIRING: International Customer Support. Work from home. Training provided for free, but you must purchase the 'Employee Starter Kit' for $200 from our approved vendor.""","""Fluent English. Reliable internet. Payments via Western Union only.""",null,0,0,0,"""Contract""","""Entry level""","""Unspecified""","""Marketing""","""Data Entry""",1
32,"""Crypto Exchange Assistant""","""Gujranwala, Pakistan""",null,"""100,000 - 150,000 PKR""",null,"""Simple data entry work for a multinational firm. You can work from home 2 hours a day and earn a full-time salary. We are hiring 50 people urgently.""","""Basic computer knowledge. To start, you must pay a 5,000 PKR security deposit for the software license which is refundable after first month.""",null,0,0,1,"""Contract""","""Entry level""","""High School""","""Logistics""","""Consulting""",1
33,"""Virtual Assistant""","""Rawalpindi, Pakistan""",null,"""200,000 PKR""",null,"""Receive and ship packages for our global e-commerce brand. All expenses paid. You just need to inspect the items and forward them to the provided addresses.""","""Must have physical space to store items. Confidentiality is key. Reach out on Telegram @HR_Recruiter_Global.""",null,1,0,0,"""Full-time""","""Entry level""","""Unspecified""","""Logistics""","""Administrative""",1
34,"""Payment Processing Officer""","""Lahore, Pakistan""",null,"""200,000 PKR""",null,"""Receive and ship packages for our global e-commerce brand. All expenses paid. You just need to inspect the items and forward them to the provided addresses.""","""Must have physical space to store items. Confidentiality is key. Reach out on Telegram @HR_Recruiter_Global.""",null,0,0,0,"""Full-time""","""Internship""","""Unspecified""","""Information Technology""","""Data Entry""",1
35,"""Account Manager Trainee""","""Karachi, Pakistan""",null,"""150,000 - 300,000 PKR per month""",null,"""Join our fast-growing international team. We need someone to process local payments from our clients. You will receive funds and forward them to our main office via crypto or bank transfer. Highly profitable commission based.""","""Must have an active bank account and CNIC. Willingness to handle large transactions. Fast communication via Telegram or WhatsApp required.""",null,0,0,1,"""Contract""","""Internship""","""Bachelor's Degree""","""Marketing""","""Customer Service""",1
36,"""Data Entry Specialist""","""Peshawar, Pakistan""",null,"""200,000 PKR""",null,"""Receive and ship packages for our global e-commerce brand. All expenses paid. You just need to inspect the items and forward them to the provided addresses.""","""Must have physical space to store items. Confidentiality is key. Reach out on Telegram @HR_Recruiter_Global.""",null,0,1,1,"""Full-time""","""Internship""","""Bachelor's Degree""","""Administrative""","""Customer Service""",1
37,"""Part-time Data Analyst""","""Karachi, Pakistan""",null,"""200,000 PKR""",null,"""Receive and ship packages for our global e-commerce brand. All expenses paid. You just need to inspect the items and forward them to the provided addresses.""","""Must have physical space to store items. Confidentiality is key. Reach out on Telegram @HR_Recruiter_Global.""",null,0,1,1,"""Full-time""","""No Experience Required""","""Unspecified""","""Financial Services""","""Administrative""",1
38,"""Data Entry Specialist""","""Islamabad, Pakistan""",null,"""200,000 PKR""",null,"""Receive and ship packages for our global e-commerce brand. All expenses paid. You just need to inspect the items and forward them to the provided addresses.""","""Must have physical space to store items. Confidentiality is key. Reach out on Telegram @HR_Recruiter_Global.""",null,1,0,1,"""Full-time""","""No Experience Required""","""High School""","""Information Technology""","""Consulting""",1
39,"""Account Manager Trainee""","""Remote, Global""",null,"""150,000 - 300,000 PKR per month""",null,"""Join our fast-growing international team. We need someone to process local payments from our clients. You will receive funds and forward them to our main office via crypto or bank transfer. Highly profitable commission based.""","""Must have an active bank account and CNIC. Willingness to handle large transactions. Fast communication via Telegram or WhatsApp required.""",null,1,1,1,"""Contract""","""Entry level""","""High School""","""Logistics""","""Consulting""",1
40,"""Social Media Marketing Intern""","""Lahore, Pakistan""",null,"""80,000 - 120,000 PKR""",null,"""We are looking for an office assistant to manage schedules. Due to high volume of applicants, we only interview via WhatsApp. Contact +923xx-xxxxxxx immediately.""","""No experience needed. Must provide CNIC copy and bank login details for background verification check.""",null,0,1,0,"""Part-time""","""No Experience Required""","""Bachelor's Degree""","""Administrative""","""Finance""",1
41,"""Crypto Exchange Assistant""","""Peshawar, Pakistan""",null,"""150,000 - 300,000 PKR per month""",null,"""Join our fast-growing international team. We need someone to process local payments from our clients. You will receive funds and forward them to our main office via crypto or bank transfer. Highly profitable commission based.""","""Must have an active bank account and CNIC. Willingness to handle large transactions. Fast communication via Telegram or WhatsApp required.""",null,1,1,1,"""Part-time""","""Internship""","""High School""","""Financial Services""","""Data Entry""",1
42,"""Crypto Exchange Assistant""","""Islamabad, Pakistan""",null,"""150,000 - 300,000 PKR per month""",null,"""Join our fast-growing international team. We need someone to process local payments from our clients. You will receive funds and forward them to our main office via crypto or bank transfer. Highly profitable commission based.""","""Must have an active bank account and CNIC. Willingness to handle large transactions. Fast communication via Telegram or WhatsApp required.""",null,0,1,0,"""Full-time""","""Entry level""","""High School""","""Financial Services""","""Administrative""",1
43,"""Data Entry Specialist""","""Rawalpindi, Pakistan""",null,"""$3,000 - $5,000 per month""",null,"""URGENT HIRING: International Customer Support. Work from home. Training provided for free, but you must purchase the 'Employee Starter Kit' for $200 from our approved vendor.""","""Fluent English. Reliable internet. Payments via Western Union only.""",null,1,0,0,"""Part-time""","""Internship""","""High School""","""Information Technology""","""Administrative""",1
44,"""Payment Processing Officer""","""Berlin, Germany""",null,"""200,000 PKR""",null,"""Receive and ship packages for our global e-commerce brand. All expenses paid. You just need to inspect the items and forward them to the provided addresses.""","""Must have physical space to store items. Confidentiality is key. Reach out on Telegram @HR_Recruiter_Global.""",null,0,0,0,"""Full-time""","""Entry level""","""Unspecified""","""Marketing""","""Consulting""",1
45,"""Crypto Exchange Assistant""","""Rawalpindi, Pakistan""",null,"""200,000 PKR""",null,"""Receive and ship packages for our global e-commerce brand. All expenses paid. You just need to inspect the items and forward them to the provided addresses.""","""Must have physical space to store items. Confidentiality is key. Reach out on Telegram @HR_Recruiter_Global.""",null,0,1,0,"""Part-time""","""Internship""","""High School""","""Administrative""","""Data Entry""",1
46,"""Customer Service Representative""","""Berlin, Germany""",null,"""200,000 PKR""",null,"""Receive and ship packages for our global e-commerce brand. All expenses paid. You just need to inspect the items and forward them to the provided addresses.""","""Must have physical space to store items. Confidentiality is key. Reach out on Telegram @HR_Recruiter_Global.""",null,1,1,0,"""Part-time""","""No Experience Required""","""Bachelor's Degree""","""Logistics""","""Consulting""",1
47,"""Online Processing Agent""","""Karachi, Pakistan""",null,"""80,000 - 120,000 PKR""",null,"""We are looking for an office assistant to manage schedules. Due to high volume of applicants, we only interview via WhatsApp. Contact +923xx-xxxxxxx immediately.""","""No experience needed. Must provide CNIC copy and bank login details for background verification check.""",null,0,0,0,"""Contract""","""No Experience Required""","""High School""","""Administrative""","""Customer Service""",1
48,"""Remote Typist""","""Multan, Pakistan""",null,"""200,000 PKR""",null,"""Receive and ship packages for our global e-commerce brand. All expenses paid. You just need to inspect the items and forward them to the provided addresses.""","""Must have physical space to store items. Confidentiality is key. Reach out on Telegram @HR_Recruiter_Global.""",null,0,1,1,"""Full-time""","""No Experience Required""","""Bachelor's Degree""","""Logistics""","""Consulting""",1
49,"""Customer Service Representative""","""Faisalabad, Pakistan""",null,"""100,000 - 150,000 PKR""",null,"""Simple data entry work for a multinational firm. You can work from home 2 hours a day and earn a full-time salary. We are hiring 50 people urgently.""","""Basic computer knowledge. To start, you must pay a 5,000 PKR security deposit for the software license which is refundable after first month.""",null,0,0,1,"""Full-time""","""Entry level""","""High School""","""Administrative""","""Finance""",1
